Typ;Ilosc elementow;Min;Max;Czas[s];Operacje
Quicksort;800000;0;100;8.888000;4199186
Babelkowe;800000;0;100;2290.689941;3651694869

Quicksort;100;1;100;0.000000;366
Babelkowe;100;1;100;0.000000;2194

Quicksort;700000;0;100;6.313000;3008524
Babelkowe;700000;0;100;1762.034058;1160993814

Quicksort;600000;0;100;4.651000;3016672
Babelkowe;600000;0;100;1292.197998;3218081193

Quicksort;500000;0;100;3.231000;2565323
Babelkowe;500000;0;100;894.823975;1707255597

Quicksort;400000;0;100;2.125000;1982171
Babelkowe;400000;0;100;569.559998;946874562

Quicksort;300000;0;100;1.175000;1357861
Babelkowe;300000;0;100;320.881012;839456333

Quicksort;200000;0;100;0.532000;976828
Babelkowe;200000;0;100;142.487000;1341012962

Quicksort;100000;0;100;0.136000;550181
Babelkowe;100000;0;100;35.470001;2473227745

Quicksort;90000;0;100;0.112000;398654
Babelkowe;90000;0;100;28.672001;2000320337

Quicksort;80000;0;100;0.090000;409942
Babelkowe;80000;0;100;22.465000;1587835190

Quicksort;70000;0;100;0.070000;378106
Babelkowe;70000;0;100;17.231001;1211332494

Quicksort;60000;0;100;0.053000;268695
Babelkowe;60000;0;100;12.561000;891459786

Quicksort;50000;0;100;0.037000;234917
Babelkowe;50000;0;100;8.712000;624206489

Quicksort;40000;0;100;0.024000;239598
Babelkowe;40000;0;100;5.780000;396947203

Quicksort;30000;0;100;0.014000;203698
Babelkowe;30000;0;100;3.070000;222355123

Quicksort;20000;0;100;0.006000;89532
Babelkowe;20000;0;100;1.314000;99909543

Quicksort;10000;0;100;0.002000;53200
Babelkowe;10000;0;100;0.302000;24787639

Quicksort;9000;0;100;0.002000;42060
Babelkowe;9000;0;100;0.239000;20143736

Quicksort;5000;0;100;0.001000;21651
Babelkowe;5000;0;100;0.070000;6185621

Quicksort;2000;0;100;0.001000;10318
Babelkowe;2000;0;100;0.013000;977602

Quicksort;1000;0;100;0.001000;5176
Babelkowe;1000;0;100;0.003000;247680

Quicksort;500;0;100;0.000000;2399
Babelkowe;500;0;100;0.001000;60014

Quicksort;11;0;10;0.000000;35
Babelkowe;11;0;10;0.000000;55

Quicksort;11;0;10;0.000000;35
Babelkowe;11;0;10;0.000000;55

Quicksort;11;0;10;0.000000;35
Babelkowe;11;0;10;0.000000;55

Quicksort;11;0;10;0.000000;35
