Typ;Ilosc elementow;Min;Max;Czas[s];Operacje
Quicksort;0;8555968;520105149;0.000000;0
Babelkowe;0;8556016;520236193;0.000000;0

Quicksort;100;0;0;0.000000;99
Babelkowe;100;0;0;0.000000;0

Quicksort;100;0;7733584;0.000000;195
Babelkowe;100;0;7733584;0.000000;195

Quicksort;100;0;8257872;0.000000;195
Babelkowe;100;0;8257872;0.000000;195

Quicksort;100;0;30226592;0.000000;292
Babelkowe;100;0;30226592;0.000000;196

Quicksort;4000;5;5;0.016000;3999
Babelkowe;4000;5;5;0.031000;0

Quicksort;1000000;0;1000;1.382000;7283548
Quicksort;500000;0;1000;0.374000;3799119
Quicksort;1000;0;100;0.000000;4791
Babelkowe;1000;0;100;0.003000;250011

Quicksort;10;1;5;0.000000;13
Babelkowe;10;1;5;0.000000;11

Quicksort;100;0;30;0.000000;311
Babelkowe;100;0;30;0.000000;2515

Quicksort;100;0;30;0.000000;307
Quicksort;100;0;30;0.000000;318
Heapsort;100;0;30;0.000000;0
Babelkowe;100;0;30;0.000000;2421

Quicksort;100;0;30;0.000000;492
Quicksort;100;0;30;0.000000;422
Quicksort;100;0;30;0.000000;383
Quicksort;100;0;30;0.000000;241
Quicksort;100;0;30;0.000000;251
Heapsort;100;0;30;0.000000;0
Babelkowe;100;0;30;0.000000;2144

Quicksort;50;1;10;0.000000;132
Heapsort;50;1;10;0.000000;0
Quicksort;100;0;10;0.000000;309
Heapsort;100;0;10;0.000000;0
Babelkowe;100;0;10;0.000000;1908

Quicksort;50;1;10;0.000000;113
Quicksort;100;1;10;0.000000;281
Heapsort;100;0;10;0.000000;0
Babelkowe;100;1;10;0.000000;2403

Quicksort;100;1;10;0.000000;267
Heapsort;100;1;10;0.000000;0
Babelkowe;100;1;10;0.000000;1975

Quicksort;50;1;10;0.000000;122
Quicksort;1000;1;100;0.000000;5156
Quicksort;50;1;10;0.000000;93
Heapsort;50;1;10;0.000000;0
Babelkowe;50;1;10;0.000000;452

Quicksort;50;1;10;0.000000;98
Heapsort;50;4;10;0.000000;0
Babelkowe;50;1;10;0.000000;487

Quicksort;50;1;10;0.000000;120
Heapsort;50;1;10;0.000000;0
Babelkowe;50;1;10;0.000000;517

Quicksort;22;0;0;0.000000;21
Heapsort;22;0;0;0.000000;0
Babelkowe;22;0;0;0.000000;0

Quicksort;22;2358734;2358734;0.000000;21
Heapsort;22;2358734;2358734;0.000000;0
Babelkowe;22;2358734;2358734;0.000000;0

Quicksort;22;0;0;0.000000;21
Quicksort;22;0;0;0.000000;21
Heapsort;22;0;0;0.000000;0
Babelkowe;22;0;0;0.000000;0

Quicksort;50;1;10;0.000000;98
Quicksort;50;1;10;0.000000;131
Quicksort;50;1;10;0.000000;184
Quicksort;100;1;10;0.000000;273
Quicksort;100;1;10;0.000000;340
Heapsort;100;1;10;0.000000;596
Babelkowe;100;1;10;0.000000;2322

Quicksort;50;1;10;0.000000;161
Heapsort;50;1;10;0.000000;310
Babelkowe;50;1;10;0.000000;514

Quicksort;10;2;5;0.000000;18
Heapsort;10;2;5;0.000000;42
Babelkowe;10;2;5;0.000000;20

Quicksort;1000000;0;100;12.523000;4674499
Heapsort;1000000;0;100;0.408000;6520328
Heapsort;1000000;0;100;0.495000;6517604
Quicksort;1000000;1;1000;1.527000;7368718
Heapsort;1000000;1;1000;0.576000;6568284
Quicksort;100;1;1;0.000000;99
Heapsort;100;1;1;0.000000;100
Babelkowe;100;1;1;0.000000;0

Quicksort;10000;1;1;0.141000;9999
Heapsort;10000;1;1;0.000000;10000
Babelkowe;10000;1;1;0.172000;0

Quicksort;20000;1;1;0.552000;19999
Heapsort;20000;1;1;0.001000;20000
Babelkowe;20000;1;1;0.637000;0

Quicksort;10000;1;1;0.143000;9999
Heapsort;10000;1;1;0.001000;10000
Babelkowe;10000;1;1;0.188000;0

Heapsort;1000000;0;100;0.394000;6518532
Heapsort;900000;0;100;0.441000;5868224
Heapsort;800000;0;100;0.310000;5215176
Heapsort;700000;0;100;0.268000;4562032
Heapsort;600000;0;100;0.228000;3910764
Heapsort;500000;0;100;0.187000;3258468
Heapsort;400000;0;100;0.150000;2607176
Heapsort;300000;0;100;0.109000;1956312
Heapsort;200000;0;100;0.069000;1304012
Heapsort;100000;0;100;0.036000;652260
Heapsort;90000;0;100;0.030000;586312
Heapsort;80000;0;100;0.027000;521692
Heapsort;70000;0;100;0.023000;456224
Heapsort;60000;0;100;0.020000;391232
Heapsort;50000;0;100;0.016000;325944
Heapsort;40000;0;100;0.014000;260960
Heapsort;30000;0;100;0.009000;195596
Heapsort;20000;0;100;0.006000;130528
Heapsort;10000;0;100;0.003000;64984
Heapsort;9000;0;100;0.002000;58628
Heapsort;5000;0;100;0.001000;32756
Heapsort;2000;0;100;0.001000;12920
Heapsort;1000;0;100;0.001000;6492
Heapsort;500;0;100;0.000000;3308
Heapsort;100;3;100;0.000000;648
Heapsort;100;0;100;0.000000;632
Heapsort;22;1;9;0.000000;130
Heapsort;100;1;100;0.000000;652
Quicksort;100;0;10;0.000000;247
Heapsort;100;0;10;0.000000;608
Babelkowe;100;0;10;0.000000;2333

Quicksort;1000000;0;1000;1.426000;7932555
Heapsort;1000000;0;1000;0.456000;6565880
Quicksort;1000000;0;10000;0.278000;10047801
Heapsort;1000000;0;10000;0.516000;6574316

Quicksort;100;3;9899;0.000000;431
Heapsort;100;3;9899;0.000000;648
Babelkowe;100;3;9899;0.000000;2314

Quicksort;500;52;9996;0.000000;2631
Heapsort;500;52;9996;0.000000;3296
Babelkowe;500;52;9996;0.001000;60568

Quicksort;1000;2;9981;0.000000;6666
Heapsort;1000;2;9981;0.000000;6532
Babelkowe;1000;2;9981;0.003000;246413

Quicksort;2000;13;10000;0.000000;15231
Heapsort;2000;13;10000;0.001000;13216
Babelkowe;2000;13;10000;0.013000;984416

Quicksort;3000;2;10000;0.001000;23208
Heapsort;3000;2;10000;0.001000;19660
Babelkowe;3000;2;10000;0.024000;2283931

Quicksort;4000;2;10000;0.000000;28361
Heapsort;4000;2;10000;0.002000;26248
Babelkowe;4000;2;10000;0.050000;4049270

Quicksort;5000;0;9999;0.001000;38403
Heapsort;5000;0;9999;0.002000;32864
Babelkowe;5000;0;9999;0.070000;6321280

Quicksort;6000;0;9999;0.001000;45961
Heapsort;6000;0;9999;0.002000;39460
Babelkowe;6000;0;9999;0.113000;8895914

Quicksort;7000;0;9997;0.001000;53137
Heapsort;7000;0;9997;0.002000;46072
Babelkowe;7000;0;9997;0.140000;12118300

Quicksort;8000;1;10000;0.001000;60589
Heapsort;8000;1;10000;0.003000;52656
Babelkowe;8000;1;10000;0.183000;15974720

Quicksort;9000;2;10000;0.001000;77536
Heapsort;9000;2;10000;0.003000;59116
Babelkowe;9000;2;10000;0.232000;20283094

Quicksort;10000;1;9999;0.002000;79776
Heapsort;10000;1;9999;0.004000;65596
Babelkowe;10000;1;9999;0.290000;25073818

Quicksort;20000;0;10000;0.003000;163788
Heapsort;20000;0;10000;0.010000;131492
Babelkowe;20000;0;10000;1.284000;99610629

Quicksort;30000;0;10000;0.004000;252826
Heapsort;30000;0;10000;0.012000;196968
Babelkowe;30000;0;10000;2.958000;225470561

Quicksort;40000;0;10000;0.005000;370851
Heapsort;40000;0;10000;0.018000;262408
Babelkowe;40000;0;10000;5.345000;400396761

Quicksort;50000;0;10000;0.008000;523027
Heapsort;50000;0;10000;0.018000;328864
Babelkowe;50000;0;10000;8.489000;623375105

Quicksort;60000;0;10000;0.008000;539715
Heapsort;60000;0;10000;0.027000;394076
Babelkowe;60000;0;10000;12.261000;901163282

Quicksort;70000;0;10000;0.010000;627068
Heapsort;70000;0;10000;0.032000;460284
Babelkowe;70000;0;10000;16.687000;1216910292

Quicksort;80000;0;10000;0.012000;779706
Heapsort;80000;0;10000;0.036000;525968
Babelkowe;80000;0;10000;22.236000;1592946256

Quicksort;90000;0;10000;0.014000;1050600
Heapsort;90000;0;10000;0.044000;590900
Babelkowe;90000;0;10000;27.819000;2030918456

Quicksort;100000;0;10000;0.015000;991570
Heapsort;100000;0;10000;0.041000;657364
Babelkowe;100000;0;10000;34.348999;2498041074

Quicksort;200000;0;10000;0.033000;1969764
Heapsort;200000;0;10000;0.086000;1313556
Babelkowe;200000;0;10000;138.593994;1433568992

Quicksort;300000;0;10000;0.053000;2848103
Heapsort;300000;0;10000;0.137000;1971956
Babelkowe;300000;0;10000;310.252014;1005897600

Quicksort;400000;0;10000;0.078000;4131501
Heapsort;400000;0;10000;0.175000;2628392
Babelkowe;400000;0;10000;553.315002;1385354341

Quicksort;500000;0;10000;0.106000;4727292
Heapsort;500000;0;10000;0.226000;3285780
Babelkowe;500000;0;10000;862.499023;2314781431

Quicksort;600000;0;10000;0.132000;5913976
Heapsort;600000;0;10000;0.275000;3942564
Babelkowe;600000;0;10000;1264.244019;4183254971

Quicksort;700000;0;10000;0.163000;6288262
Heapsort;700000;0;10000;0.368000;4601348
Babelkowe;700000;0;10000;1731.262939;2243734623

Quicksort;800000;0;10000;0.202000;8255183
Heapsort;800000;0;10000;0.404000;5257748
Babelkowe;800000;0;10000;2265.418945;1161758402

Quicksort;900000;0;10000;0.232000;9098283
Heapsort;900000;0;10000;0.427000;5916352
Babelkowe;900000;0;10000;2853.650879;535847781

Quicksort;100000;0;10000;0.016000;988321
Heapsort;100000;0;10000;0.041000;657192
Babelkowe;100000;10000;0;34.616001;2502373334

Quicksort;100001;0;10000;3.682000;485254332
Heapsort;100001;0;10000;0.034000;499961
Babelkowe;100001;0;10000;24.933001;704571970

Quicksort;1000000;0;10000;0.281000;10252235
Heapsort;1000000;0;10000;0.484000;6571788
Babelkowe;1000000;0;10000;3560.116943;870310306

